Date,Stock_Shares,PnL,Rebalanced
2025-11-26,66.11151394661617,-866.2360282126303,True
2025-11-27,66.11151394661617,-48.59301025980551,False
2025-11-28,66.11151394661617,-556.5980859870731,False
2025-12-01,66.11151394661617,1495.168734664919,False
2025-12-02,66.11151394661617,404.8609076282148,False
2025-12-03,60.84932461878603,4752.1373373579945,True
2025-12-04,60.84932461878603,5652.692587905032,False
2025-12-05,66.14176519808679,6935.089341889789,True
2025-12-08,60.02659204915336,7944.287954496111,True
2025-12-09,60.02659204915336,8492.072975753596,False
2025-12-10,54.199926839009024,9420.860113698694,True
2025-12-11,54.199926839009024,9788.659830921373,False
2025-12-12,62.475592719541325,10359.151046126928,True
2025-12-15,62.475592719541325,12206.50564918785,False
2025-12-16,56.64222356928465,12420.160791699209,True
2025-12-17,56.64222356928465,13411.676402395478,False
2025-12-18,56.64222356928465,14431.749731687622,False
2025-12-19,56.64222356928465,14916.229157114332,False
2025-12-22,65.67992959785646,14766.257983755875,True
2025-12-23,65.67992959785646,15648.237649345698,False
2025-12-24,65.67992959785646,15276.156116940634,False
2025-12-26,65.67992959785646,18011.29914307462,False
2025-12-29,57.926619502359024,18509.601624455147,True
2025-12-30,57.926619502359024,18756.34011107248,False
2025-12-31,63.81952488625431,18423.853150887942,True
2026-01-01,63.81952488625431,20340.59409771,False
2026-01-02,70.16391009838631,20107.228395369846,True
2026-01-05,70.16391009838631,23686.90243017112,False
2026-01-06,70.16391009838631,21933.166467126757,False
2026-01-07,64.00808582126241,23139.987147156833,True
2026-01-08,54.282131155879696,20612.41476393414,True
2026-01-09,46.83837546617134,21110.51817346092,True
2026-01-12,46.83837546617134,22474.88242956798,False
2026-01-13,46.83837546617134,25205.598571303315,False
2026-01-14,46.83837546617134,25046.47892770965,False
2026-01-16,46.83837546617134,25748.082222362078,False
2026-01-19,39.945039878267615,27981.54033402724,True
2026-01-20,27.183744654614806,23364.941566133362,True
2026-01-21,27.183744654614806,23106.16071703725,False
2026-01-22,27.183744654614806,23425.288509308295,False
2026-01-23,21.69494740803565,21943.46663080721,True
2026-01-27,21.69494740803565,22248.30121477573,False
2026-01-28,27.032537689432157,26601.316055458534,True
2026-01-29,27.032537689432157,27154.843800508832,False
2026-01-30,27.032537689432157,27453.89697252212,False
2026-02-01,11.782568069005988,21133.090629558596,True
2026-02-02,11.782568069005988,23941.31690330373,False
2026-02-03,40.717840969550956,16074.928444452675,True
2026-02-04,40.717840969550956,18652.70783942745,False
