Date,Option_Value,PnL,Cumulative_PnL
2025-11-26,99820.0,0.0,0.0
2025-11-27,99680.0,140.0,140.0
2025-11-28,99355.0,465.0,465.0
2025-12-01,95505.0,4315.0,4315.0
2025-12-02,87105.0,12715.0,12715.0
2025-12-03,79635.0,20185.0,20185.0
2025-12-04,81640.0,18180.0,18180.0
2025-12-05,89580.0,10240.0,10240.0
2025-12-08,73550.0,26270.0,26270.0
2025-12-09,65745.0,34075.0,34075.0
2025-12-10,59840.0,39980.0,39980.0
2025-12-11,67090.0,32730.0,32730.0
2025-12-12,74455.0,25365.0,25365.0
2025-12-15,71380.0,28440.0,28440.0
2025-12-16,60645.00000000001,39174.99999999999,39174.99999999999
2025-12-17,57300.0,42520.0,42520.0
2025-12-18,56110.0,43710.0,43710.0
2025-12-19,64170.00000000001,35649.99999999999,35649.99999999999
2025-12-22,75870.0,23950.0,23950.0
2025-12-23,75300.0,24520.0,24520.0
2025-12-24,73370.0,26450.0,26450.0
2025-12-26,64079.99999999999,35740.00000000001,35740.00000000001
2025-12-29,56900.0,42920.0,42920.0
2025-12-30,56465.0,43355.0,43355.0
2025-12-31,67770.0,32050.0,32050.0
2026-01-01,66935.0,32885.0,32885.0
2026-01-02,78700.0,21120.0,21120.0
2026-01-05,69630.0,30190.0,30190.0
2026-01-06,66360.0,33460.0,33460.0
2026-01-07,62410.0,37410.0,37410.0
2026-01-08,47920.0,51900.0,51900.0
2026-01-09,36820.0,63000.0,63000.0
2026-01-12,40465.0,59355.0,59355.0
2026-01-13,35020.0,64800.0,64800.0
2026-01-14,32055.0,67765.0,67765.0
2026-01-16,32700.0,67120.0,67120.0
2026-01-19,25280.0,74540.0,74540.0
2026-01-20,15635.0,84185.0,84185.0
2026-01-21,13855.000000000002,85965.0,85965.0
2026-01-22,17135.0,82685.0,82685.0
2026-01-23,11990.0,87830.0,87830.0
2026-01-27,14435.0,85385.0,85385.0
2026-01-28,13644.999999999998,86175.0,86175.0
2026-01-29,15150.0,84670.0,84670.0
2026-01-30,12195.0,87625.0,87625.0
2026-02-01,4940.0,94880.0,94880.0
2026-02-02,5230.0,94590.0,94590.0
2026-02-03,20255.0,79565.0,79565.0
2026-02-04,19650.0,80170.0,80170.0
