Date,PnL
2025-11-26,0.0
2025-11-27,140.0000000000091
2025-11-28,465.0000000000091
2025-12-01,4315.000000000009
2025-12-02,12715.00000000001
2025-12-03,20185.000000000004
2025-12-04,18180.000000000007
2025-12-05,10240.00000000001
2025-12-08,26270.000000000004
2025-12-09,34075.0
2025-12-10,39980.00000000001
2025-12-11,32730.000000000007
2025-12-12,25365.000000000007
2025-12-15,28440.000000000007
2025-12-16,39175.0
2025-12-17,42520.00000000001
2025-12-18,43710.0
2025-12-19,35650.0
2025-12-22,23950.0
2025-12-23,24520.000000000004
2025-12-24,26450.0
2025-12-26,35740.00000000001
2025-12-29,42920.00000000001
2025-12-30,43355.00000000001
2025-12-31,32050.0
2026-01-01,32885.0
2026-01-02,21120.000000000004
2026-01-05,30190.000000000007
2026-01-06,33460.0
2026-01-07,37410.0
2026-01-08,51900.0
2026-01-09,63000.0
2026-01-12,59355.00000000001
2026-01-13,64800.0
2026-01-14,67765.00000000001
2026-01-16,67120.0
2026-01-19,74540.00000000001
2026-01-20,84185.0
2026-01-21,85965.00000000001
2026-01-22,82685.0
2026-01-23,87830.0
2026-01-27,85385.0
2026-01-28,86175.0
2026-01-29,84670.0
2026-01-30,87625.0
2026-02-01,94880.0
2026-02-02,94590.00000000001
2026-02-03,79565.00000000001
2026-02-04,80170.0
