Date,PnL,Vega_Contracts,Stock_Shares,Rebalanced
2025-11-26,-33467.090015239,46.138242183431295,41.03966612152499,True
2025-11-27,-33021.27638216794,46.138242183431295,41.03966612152499,False
2025-11-28,-33242.06074230996,46.138242183431295,41.03966612152499,False
2025-12-01,-32109.047616054173,46.138242183431295,41.03966612152499,False
2025-12-02,-32626.9852934111,46.138242183431295,41.03966612152499,False
2025-12-03,-30289.445758377973,46.138242183431295,41.03966612152499,False
2025-12-04,-29682.830467051033,46.138242183431295,41.03966612152499,False
2025-12-05,-28645.48595567856,46.138242183431295,41.03966612152499,False
2025-12-08,-27815.03797267761,46.138242183431295,41.03966612152499,False
2025-12-09,-27772.511842247106,46.138242183431295,41.03966612152499,False
2025-12-10,-27376.1418616468,46.138242183431295,41.03966612152499,False
2025-12-11,-26411.409982600944,46.138242183431295,41.03966612152499,False
2025-12-12,-25269.231720572083,46.138242183431295,41.03966612152499,False
2025-12-15,-24218.38308442531,46.138242183431295,41.03966612152499,False
2025-12-16,-24107.264685997055,46.138242183431295,41.03966612152499,False
2025-12-17,-23678.564665711543,46.138242183431295,41.03966612152499,False
2025-12-18,-23100.005757015857,46.138242183431295,41.03966612152499,False
2025-12-19,-23510.113263996336,49.06744230790815,38.17327372602169,True
2025-12-22,-23102.084321080816,49.06744230790815,38.17327372602169,False
2025-12-23,-22660.662828793083,49.06744230790815,38.17327372602169,False
2025-12-24,-22682.87314864522,49.06744230790815,38.17327372602169,False
2025-12-26,-20964.108468278515,49.06744230790815,38.17327372602169,False
2025-12-29,-20201.495533642148,49.06744230790815,38.17327372602169,False
2025-12-30,-20039.72160648817,49.06744230790815,38.17327372602169,False
2025-12-31,-19294.539454858754,47.09728174168755,41.65608511137471,True
2026-01-01,-18298.422299969843,47.09728174168755,41.65608511137471,False
2026-01-02,-16709.604917159195,43.62936218851588,46.85546911217973,True
2026-01-05,-14772.834185388852,43.62936218851588,46.85546911217973,False
2026-01-06,-15603.912960281537,43.62936218851588,46.85546911217973,False
2026-01-07,-14813.587498820387,43.62936218851588,46.85546911217973,False
2026-01-08,-16914.8119455024,43.62936218851588,46.85546911217973,False
2026-01-09,-18142.409314314897,43.62936218851588,46.85546911217973,False
2026-01-12,-15874.724468144163,43.62936218851588,46.85546911217973,False
2026-01-13,-14882.022002121877,43.62936218851588,46.85546911217973,False
2026-01-14,-15774.594426595932,43.62936218851588,46.85546911217973,False
2026-01-16,-14933.786289809816,43.62936218851588,46.85546911217973,False
2026-01-19,-17388.493756550517,66.23990787608815,25.75975260726021,True
2026-01-20,-20636.106491514543,76.98344360469304,16.905041608180507,True
2026-01-21,-20756.599382621265,76.98344360469304,16.905041608180507,False
2026-01-22,-20574.878203284185,76.98344360469304,16.905041608180507,False
2026-01-23,-21609.12863417298,82.08718606631217,13.266485382947845,True
2026-01-27,-21417.558964699478,82.08718606631217,13.266485382947845,False
2026-01-28,-19346.208628620185,82.08718606631217,13.266485382947845,False
2026-01-29,-19369.585999138795,82.08718606631217,13.266485382947845,False
2026-01-30,-18778.188266287278,82.08718606631217,13.266485382947845,False
2026-02-01,-20705.746175979853,110.53024848532762,7.16088432196906,True
2026-02-02,-19545.65702883037,124.58799419668789,8.896133395640511,True
2026-02-03,-19212.14343837672,75.05601967475047,27.521791775108312,True
2026-02-04,-17900.67087401583,75.05601967475047,27.521791775108312,False
