Date,PnL,Stock_Pos,Hedge_Opt_Pos
2025-11-26,-25.137496805313276,-8.633947392354738,80.95322736813242
2025-11-27,1676.2607794986216,-7.441692886377329,83.19566342857055
2025-11-28,-3891.749351613089,-11.516304917957992,75.83868470435225
2025-12-01,-3078.097007115837,-11.234863638498844,76.84557925322902
2025-12-02,-2646.815143961823,-12.730868388337019,76.08802248444503
2025-12-03,-2520.9150213817666,-13.189203266770555,75.94226445919224
2025-12-04,-2923.6754422799786,-13.098651082258595,75.56804444262193
2025-12-05,-2757.3313376581136,-11.223815409250136,77.31727509062213
2025-12-08,-2820.3623939551617,-13.634387564980582,75.89199767683303
2025-12-09,-2362.6433538486162,-15.245514359499069,75.0712406294456
2025-12-10,-2438.819200418853,-16.452406840710353,74.21749927348111
2025-12-11,-2446.318175297278,-14.558868153214217,75.69960892588031
2025-12-12,-2955.1541250558403,-12.953014814091176,76.55544159963755
2025-12-15,-2899.893938918409,-13.359270340230282,76.40608408833464
2025-12-16,-2220.6366271462975,-15.345029144469493,75.6884841906634
2025-12-17,-2066.981055436845,-16.02125543772875,75.36425582448209
2025-12-18,-1972.4582823337696,-16.127576775087622,75.41865302573939
2025-12-19,-2489.309237021658,-14.169300470242359,76.58243213885905
2025-12-22,-3287.2013680561467,-11.80297814751902,78.19257717667081
2025-12-23,-2916.852707874208,-11.68243373637354,78.76164371215947
2025-12-24,-3084.6933602622303,-12.393027215967109,78.02690672820313
2025-12-26,-3082.2171222456745,-13.932404104343803,76.77493803663553
2025-12-29,-3087.3946396839456,-15.589194658018553,75.57735698079765
2025-12-30,-2774.5159022337502,-15.524204116371074,76.04264048553185
2025-12-31,-3527.75198355272,-12.839755042214424,77.9710466683571
2026-01-01,-3590.1901010870897,-12.699480797334736,78.11535656872243
2026-01-02,-4184.515403338344,-10.383527496366899,79.96770440952432
2026-01-05,-4496.145291388188,-11.684610730164046,78.58511754587485
2026-01-06,-4030.9085162022566,-12.408673335710972,78.44689488534486
2026-01-07,-3982.889445723027,-13.080473684394743,77.96904615348481
2026-01-08,-4187.610998831795,-17.414150001507743,74.42311054778341
2026-01-09,-4221.524237830396,-21.30353376581597,71.4787311103524
2026-01-12,-4582.4443171124,-19.46564575464702,72.97162103132449
2026-01-13,-4947.599463748593,-20.93531629573701,71.42446672623605
2026-01-14,-4799.166523783453,-22.30709327028631,70.62761976790576
2026-01-16,-4492.464150885746,-22.130779879779865,71.17004245190392
2026-01-19,-5381.552542891099,-24.652369860136815,68.69708401677457
2026-01-20,-6168.686841826158,-32.04724649597246,63.27934804864644
2026-01-21,-6836.274189337913,-33.20940255501128,62.03543799215505
2026-01-22,-5035.656471418246,-32.060810792899176,64.63370807013054
2026-01-23,-6887.095415738615,-35.96067074073634,60.05028250980588
2026-01-27,-4165.683209737079,-40.40760579899655,59.21786887868815
2026-01-28,-7864.380753947466,-31.767846106900052,63.513402410672064
2026-01-29,-7633.591498909824,-31.10355130361299,64.12088505400344
2026-01-30,-7903.671520602315,-32.79322721819013,62.97256519640447
2026-02-01,-12458.138258880324,-34.90375065494032,59.79820276044001
2026-02-02,-10269.793221162094,-37.09844504574566,57.65236417149989
2026-02-03,-8028.584226926709,-25.59388829564481,69.44349080194593
2026-02-04,-8020.859806419419,-25.247821177469387,69.6960102798942
2026-02-05,-7625.961231068373,-30.88526730040885,65.34959315347898
2026-02-06,-8829.398132299972,-29.885612514358613,64.48792327656405
